BV号,标题,UP主,起始播放量,结束播放量,今日播放增量,最大单小时增量,平均互动率,爆发次数
BV17S6MBpEUz,多网页自测4,白颜夕,3201,3201,0,0.0,0.0028116213683223993,0
BV1DsQGBLE54,自测无登录鸡蛋果,喜欢吃鸡蛋果,495,495,0,0.0,0.00808080808080808,0
自测鸡蛋果,喜欢吃鸡蛋果,2026-03-21 16:17:31,0,0,0,0.0,0.0,0
自测无登录鸡蛋果,喜欢吃鸡蛋果,2026-04-14 21:59:19,0,0,0,0.0,0.0,0
自测不登录2鸡蛋果,喜欢吃鸡蛋果,2026-04-20 23:50:34,0,0,0,0.0,0.0,0
自测2号鸡蛋果,喜欢吃鸡蛋果,2026-04-18 22:55:52,0,0,0,0.0,0.0,0
多网页自测4,白颜夕,2026-01-27 14:01:58,0,0,0,0.0,0.0,0
多网页测试3,喜欢吃鸡蛋果,2026-03-21 20:04:46,0,0,0,0.0,0.0,0
多网页测试2,一个热年糕,2026-01-27 13:54:51,0,0,0,0.0,0.0,0
多网页测试1,我要在森林里盖房子,2026-01-27 13:37:56,0,0,0,0.0,0.0,0
BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3034,3034,0,0.0,0.002966381015161503,0
BV1etdCBEEwp,自测不登录2鸡蛋果,喜欢吃鸡蛋果,239,239,0,0.0,0.016736401673640166,0
BV1VhAPzbEme,防吞,爱磕糖的兔子Y,2630,2630,0,0.0,0.001520912547528517,0
BV1UAdsBXEVU,自测2号鸡蛋果,喜欢吃鸡蛋果,325,325,0,0.0,0.015384615384615385,0
BV1LD6MBQEfs,多网页测试2,一个热年糕,3029,3029,0,0.0,0.0019808517662594917,0
BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,2682,2682,0,0.0,0.0007457121551081282,0
BV1J7Awz8EUZ,自测鸡蛋果,喜欢吃鸡蛋果,696,696,0,0.0,0.0014367816091954023,0
防吞,爱磕糖的兔子Y,2026-03-21 20:01:30,0,0,0,0.0,0.0,0
