采集时间,输入,原始顺序,BV号,标题,UP主,上传时间,总播放量,点赞数,投币数,收藏数,转发数,评论数,弹幕数,在线人数,时间,BV,播放量,30min增量,1h增量
2026-05-14 00:21:51,https://www.bilibili.com/video/BV1EGBCBmEo8/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288775170&round=1&index=1&windowIndex=1&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,0.0,BV1EGBCBmEo8,【杨博文｜4K高清直拍】魅魔级别的《Manta》舞台，看博文如何一yeah封神,关键时刻来瓶尖叫,2025-12-27 23:15:44,722985.0,11679.0,9204.0,10157.0,1048.0,918.0,2285.0,1.0,,,,,
2026-05-14 00:21:51,https://www.bilibili.com/video/BV1A5vkB2E1k/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288779174&round=1&index=2&windowIndex=2&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,1.0,BV1A5vkB2E1k,【杨博文】Hey Mama六机位纯舞直拍丨15岁舞台统治者的诞生，四代主舞燃炸全场！,Kismet丨杨博文,2025-12-28 22:28:16,2377830.0,57060.0,41803.0,42150.0,6733.0,11550.0,18723.0,4.0,,,,,
2026-05-14 00:21:51,https://www.bilibili.com/video/BV1eQ6bBrE5m/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288783171&round=1&index=3&windowIndex=3&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,2.0,BV1eQ6bBrE5m,【杨博文】四代来了一个表管天才<闭嘴跳舞>4k精剪直拍,61strawberry,2026-02-01 20:51:17,110739.0,6604.0,848.0,6520.0,464.0,49.0,19.0,1.0,,,,,
2026-05-14 00:21:51,https://www.bilibili.com/video/BV1XA6nBGEPV/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288791171&round=1&index=5&windowIndex=5&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,3.0,BV1XA6nBGEPV,【4K精剪】希区考克 作品152 | 杨博文直拍 | 260131,underthepoplar,2026-02-01 00:23:17,1901853.0,21583.0,21042.0,18544.0,4146.0,3896.0,6686.0,6.0,,,,,
2026-05-14 00:21:51,https://www.bilibili.com/video/BV1e364BwE63/?spm_id_from=333.337.search-card.all.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,4.0,BV1e364BwE63,【杨博文】Why Why Why竖屏4k focus,meetsummer丨杨博文,2026-02-01 19:33:16,49439.0,680.0,317.0,884.0,470.0,19.0,14.0,1.0,,,,,
2026-05-14 00:21:51,https://www.bilibili.com/video/BV1bi62B1EhS/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,5.0,BV1bi62B1EhS,【杨博文丨四机位4K直拍】谁懂啊！群舞里的绝对焦点，《Manta》的亮眼表现！,houRlyRambo丨杨博文,2026-01-10 19:15:19,970705.0,16198.0,10878.0,15609.0,1398.0,2350.0,1978.0,3.0,,,,,
2026-05-14 00:21:51,https://www.bilibili.com/video/BV1dGR9BLERW/?autoplay=1&muted=0&vd_source=406d0cf895bedbdc58a3d0130d55e34c,6.0,BV1dGR9BLERW,自测test,我要在森林里盖房子,2026-05-09 20:44:51,580.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,
2026-05-14 00:21:51,https://www.bilibili.com/video/BV1Pb64BSELU/?autoplay=1&muted=0&vd_source=406d0cf895bedbdc58a3d0130d55e34c,7.0,BV1Pb64BSELU,【杨博文】此男就这样一步一步扭进我心里 冬季版限定白色恋人袭来｜Whywhywhy 4k横屏直拍,游园会_杨博文,2026-02-01 18:52:15,18165.0,4168.0,790.0,3147.0,35.0,14.0,51.0,1.0,,,,,
2026-05-14 00:21:51,https://www.bilibili.com/video/BV1p6eGzVE4p/?autoplay=1&muted=0&vd_source=406d0cf895bedbdc58a3d0130d55e34c,8.0,BV1p6eGzVE4p,「杨博文｜Go In Blind」丝带一拿，爽感Max,Astra_杨博文,2025-08-20 22:04:32,7161.0,575.0,133.0,357.0,12.0,4.0,23.0,1.0,,,,,
2026-05-14 00:21:51,https://www.bilibili.com/video/BV1qbULBbE5U/?spm_id_from=333.337.search-card.all.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,9.0,BV1qbULBbE5U,【4K直拍】刷到杨博文跳《Lucifer》还不点进来看！！,Kismet丨杨博文,2025-11-21 21:26:08,192148.0,24915.0,2931.0,17715.0,271.0,100.0,271.0,1.0,,,,,
