采集时间,BV号,标题,UP主,上传时间,总播放量,点赞数,投币数,收藏数,转发数,评论数,弹幕数,在线人数
2026-09-02 01:39:08,BV17x411w7KC,【MV】保加利亚妖王AZIS视频合辑,冰封.虾子,2011-11-09 22:55:33,45782419,942437,294829,877487,40516584,186046,915648,13
2026-09-02 01:39:08,BV18X4y1P7EE,原神圣遗物,小镜笑熙熙,2021-06-30 08:04:46,73,5,0,0,0,1,0,0
2026-09-02 01:43:34,BV1GdgW6JEe9,【杨博文｜4k直拍】Whiplash 双日直拍混剪,关键时刻来瓶尖叫,2026-08-13 23:45:41,292008,29825,23385,22684,7085,4803,8442,0
2026-09-02 01:43:34,BV1W5gs6KEhr,【4K精剪】异常加载中 | 杨博文直拍 | 四天混剪 | 第肆象限演唱会,underthepoplar,2026-08-13 22:44:57,243633,24726,16259,18221,6350,7444,8821,0
2026-09-02 01:43:34,BV1xebR6zEkr,【4K精剪】Attention | 杨博文直拍 | 260816,underthepoplar,2026-08-16 23:54:18,274585,19320,11481,16009,3304,1810,2975,0
2026-09-02 01:43:34,BV1E2bR6hEJR,【杨博文】Attention丨直拍横屏丨16岁高中生内娱主舞的舞台掌控力丨8.16双机位4k精剪,Kismet丨杨博文,2026-08-16 22:13:05,353448,33300,15799,22856,4759,11459,13517,0
2026-09-02 01:43:34,BV1mX8z6NEzz,【4K精剪】管他什么音乐 | 杨博文直拍 | 260816,underthepoplar,2026-08-22 04:21:09,110994,4034,2043,2263,66,58,94,0
2026-09-02 01:43:34,BV1qHbb6QErY,杨博文｜260816第肆象限attention<4k精剪>,61strawberry,2026-08-17 06:33:44,101925,1998,669,1443,19,18,28,0
2026-09-02 01:43:34,BV15egs6pEJp,杨博文｜Whiplash 2机位精剪 直拍 fancam｜4K60｜260813,LOST_杨博文,2026-08-13 23:03:07,194116,9128,2228,6689,84,81,285,0
2026-09-02 01:43:34,BV1rqgW6hEvv,【杨博文｜4k直拍】100Ways 直拍,关键时刻来瓶尖叫,2026-08-14 01:41:46,125759,4073,1781,3036,55,51,245,0
2026-09-02 01:43:34,BV1k9gw6gE4U,「杨博文｜爱的初体验」是不是我的十六岁 注定要为__流泪,Astra_杨博文,2026-08-14 13:49:20,115708,2796,958,1870,43,39,98,0
2026-09-02 01:43:34,BV1c3gF6wERf,【杨博文】元气甜度爆表！摇曳4k横屏直拍,游园会_杨博文,2026-08-14 01:43:31,139936,7094,2561,4557,83,61,506,0
